S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
93,SIA/MH/INFRA2/566861/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/264467/2025",Proposed SR Scheme at village Kurar Malad (E) Mumbai 400 097,MAHARASHTRA,D G S TOWNSHIP PRIVATE LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 06/02/2026,SEIAA,Under Verification,"Proposed amalgamation of adjoining slum rehabilitation scheme on slum plot bearing CTS Nos. 355(pt.), 355/81 to 108, 355/191 to 264, 355/308 to 351, 355/357(pt.), 355/358 to 410, 484, 484/1 to 10 of village Kurar, Taluka- Borivali, Kranti Nagar, Opp. Laxman Police Chowki, Malad (E), Mumbai 400 097 for “Saurabh SRA CHS (Prop.) & Islampura Ekta SRA CHS (Prop.)” with existing approved Slum Rehabilitation Scheme on slum plot bearing CTS No. 355(pt.), 355/267 to 307, 355/352 to 356, 355/357 (pt.), 35"
94,SIA/MH/MIN/564748/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271661/2026,"Stone Quarry Proposal of Mr. Ravindra Shrinarayan Agrawal ,Vill.-Borgaon Manju Bhag 4, Tq Akola, Dist Akola, Gut No. 50/1, ,Area-1.47 ha",MAHARASHTRA,PROJECT PROPONENT,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,Pending at MS SEIAA,"Stone Quarry Proposal of Mr. Ravindra Shrinarayan Agrawal ,Vill.-Borgaon Manju Bhag 4, Tq Akola, Dist Akola, Gut No. 50/1, ,Area-1.47 ha"
95,SIA/MH/MIN/565824/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272535/2026,"Transfer of Environmental Clearance Aashti Aanjan Vihri 2 Sand Ghat over an extent of 3.8 ha. at Bawanthadi River Bed Adjoining Gut No. 1275, 1270, 1271, 1265 Village Aashti Aanjan Vihri, Tehsil Tumsar, District Bhandara, Maharashtra by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Aashti Aanjan Vihri 2 Sand Ghat over an extent of 3.8 ha. at Bawanthadi River Bed Adjoining Gut No. 1275, 1270, 1271, 1265 Village Aashti Aanjan Vihri, Tehsil Tumsar, District Bhandara, Maharashtra by M/s. Anoj kumar Agarwala"
96,SIA/MH/MIN/565688/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272419/2026,"Transfer of Environmental Clearance Dhiwarwada 1 Sand Ghat over an extent of 4.80 ha. at Wainganga Riverbed Adjoining Gut No. 430 A, 431,432,433,434, 435, Village Dhiwarwada, Tehsil Mohadi, District Bhandara Maharashtra, by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 15/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Dhiwarwada 1 Sand Ghat over an extent of 4.80 ha. at Wainganga Riverbed Adjoining Gut No. 430 A, 431,432,433,434, 435, Village Dhiwarwada, Tehsil Mohadi, District Bhandara Maharashtra, by M/s. Anoj kumar Agarwala"
97,SIA/MH/INFRA2/564715/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271633/2026","Proposed expansion on plot bearing C.T.S No. 1965, 2053/B, 2053/C & C1, 2053/D, 2053/E, 2055/B & 2055/C of village Erangal, Tal- Borivali off Malad -Madh Road, Malad (West) by M/s Raheja Universal (pvt) Ltd.",MAHARASHTRA,RAHEJA UNIVERSAL PVT LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 14/01/2026,SEIAA,Standard ToR Granted,"Expansion of existing project on Plot bearing CTS No 1965, 2053/B, 2053/C & C1 , 2053/D, 2053/E, 2055/B and 2055/C of Village Erangal , Tal - Borivali, off Malad-Madh Road Malad (West)"
98,SIA/MH/MIN/564558/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271504/2026,"Application of Transfer of Environmental Clearance Lasur Sand Ghat Proposal of Lasur Sand Ghat Tq. Daryapur Dist. Amravati, Nearest Gut no 279,274,276,272, 265, 286, 287, 267, 266, 261,248, 258, 280, 281, 285,284,273, Area-1.02 Ha, Qty- 3604 Brass from District Mining Officer, Amaravati to M/s- R.M. Earth Movers & Construction tarfe Pro. Gaurav Rameshrao Mesre",MAHARASHTRA,Gaurav RAmeshrao MesAre,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Lasur Sand Ghat
99,SIA/MH/INFRA2/557943/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/265516/2025","Proposed Residential Cum Commercial Building Project On Plot No. 4 & 5 in B.U Kothari Brothers Layout KH. No. 41 & 42, City Survey No. 47,48, Sheet No. 21,22, Mouza Kachimet, Situated in Amravati Road Kachimet, Nagpur Tah. & Dist. Nagpur, by Smt. Rishita Ajay Agrawal, Vidram Ventures Private Limited Through its Authorized Director Shri. Ajay Puranlal Agrawal, Smt. Poonam Navneet Kothari & Shri. kapil Rajkumar Chandak.",MAHARASHTRA,AJAY PURANLAL AGRAWAL,Category: B2 Sector: INFRA-2 Date of Submission: 09/01/2026,SEIAA,Pending at MS SEIAA,Building & Construction Project
100,SIA/MH/INFRA2/564433/2026,Clearance Type: Application for Validity Extension of EC- Form-6 S/W No.: SW/271400/2026,"Proposed residential Project ""Eisha Erica"" at S.No. 127/2A/1, 127/2A/2 & 127/2B of Village Dhayari, Tal. Haveli, Dist. Pune by M/s. Eisha Vastu Construction",MAHARASHTRA,EISHA VASTU CONSTRUCTION,Category: B2 Sector: INFRA-2 Date of Submission: 09/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"Residential Project "" Eisha Erica"" at S. No. 127/2A/1, 127/2A/s & 127/2B of Village Dhayari, Tal. Haveli, Dist. Pune by M/s. Eisha Vastu Construction has received environmental clearance vide EC file No. SEAC-2212/CR 241/TC-2 dated 28 January 2016"
101,SIA/MH/INFRA2/564207/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271092/2026,Hotel Building & Commercial Building Project “Sky City” by Karmvir Intelligent Infra Private Limited,MAHARASHTRA,Rappture Projects Private Limited,Category: B2 Sector: INFRA-2 Date of Submission: 06/01/2026,SEIAA,Referred to SEIAA,"The Hotel Building & Commercial Building Project “Sky City” by Karmvir Intelligent Infra Private Limited was granted Environmental Clearance (EC) by SEIAA on 14/12/2025 for a plot area of 4,727.159 m², with FSI area of 16,115.73 m², Non-FSI area of 12,978.55 m², and total built-up area (TBUA) of 29,094.28 m². The project proponent has now applied for the transfer of Environmental Clearance from Karmvir Intelligent Infra Private Limited to Rappture Projects Private Limited."
102,SIA/MH/MIN/567605/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/274180/2026,"Transfer of EC of Sand Ghat at Tapowan , River Purna, Vill Tapowan Tq. Aundha (Nag.) Dist. Hingoli Nearest Gut no 13,21,25,26,27,28,29,30,31,284,287,288,289,290, Area-1.00 Ha, Qty-1767 Brass, in the name of M/s Siddhant Building Materials Suppliers, Prop Mr. Sunil Arun Narwade",MAHARASHTRA,SUNIL ARUN NARWADE,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Referred to SEIAA,"Transfer of EC of Sand Ghat at Tapowan , River Purna, Vill Tapowan Tq. Aundha (Nag.) Dist. Hingoli Nearest Gut no 13,21,25,26,27,28,29,30,31,284,287,288,289,290, Area-1.00 Ha, Qty-1767 Brass, in the name of M/s Siddhant Building Materials Suppliers, Prop Mr. Sunil Arun Narwade"
