S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
1,SIA/MH/INFRA2/564044/2026,Clearance Type: Application for Validity Extension of EC- Form-6 S/W No.: SW/271037/2026,Newa Techno City (India) Pvt. Ltd. Newa Bhakti Knowledge City.,MAHARASHTRA,Newa technocity (india) private limited,Category: B1 Sector: INFRA-2 Date of Submission: 06/01/2026,SEIAA,Referred to SEIAA,"PP has obtained an Environment Clearance (EC) letter No. SEAC2014/CR 320/TC II from SEIAA Maharashtra, dated 12/01/2016, for a total plot area of 52,610 m². The clearance covers an FSI area of 94,281 m², a Non‑FSI area of 1,09,230 m², and a total built‑up area of 2,03,511 m². Presently, only 78,978.70 m² of built‑up area has been constructed on‑site (FSI = 43,056.372 m² and Non‑FSI = 35,923.14 m²). As per the MoEF&CC Office Memorandum No. 1A3‑22/28/2022‑1A.111 [E 181584] dated 13/12/2022, the EC"
2,SIA/MH/MIN/563998/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271002/2026,"Transfer of EC of Shekapur Bai-2 Sand Ghat, Vana river , Vill. Shekapur Bai,Tq. Hinganghat Dist. Wardha, Nearest Gut No. 210, 206, 205, 204, 203, 202, 201,Area-1.60 Ha, Qty-3958 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia",MAHARASHTRA,CHOURASIA CoNSTRUCTION CO,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/01/2026,SEIAA,EC Granted,"Transfer of EC of Shekapur Bai-2 Sand Ghat, Vana river , Vill. Shekapur Bai,Tq. Hinganghat Dist. Wardha, Nearest Gut No. 210, 206, 205, 204, 203, 202, 201,Area-1.60 Ha, Qty-3958 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia"
3,SIA/MH/INFRA2/568350/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274761/2026","Proposed Industrial Shed by Franke Faber India Pvt. Ltd. at Gat no. 1086/1 & 1086 /2 Sanaswadi, Tal – Shirur Dist- Pune, 412208.",MAHARASHTRA,franke faber india private limited,Category: B2 Sector: INFRA-2 Date of Submission: 07/02/2026,SEIAA,Under Verification,"The Project is a Fresh EC project located at Gat no. 1086/1 & 1086 /2 Sanaswadi, Tal – Shirur, Dist.- Pune"
4,SIA/MH/MIN/566213/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272883/2026,"EC Transfer of Walsa Khalsa Purna Sand Ghat Nearest Gut no 47, 49, 52, 55 Area-1.04 Ha, Qty- 3675 Brass , Village Walsa Khalsa Purna, Tq. Bhokardan Dist. Jalna by Shri. Rajesh Subhash Dolase.",MAHARASHTRA,RAJESH SUBHASH DOLASE,Category: B2 Sector: Non-Coal Mining Date of Submission: 20/01/2026,SEIAA,EC Granted,"EC Transfer of Walsa Khalsa Purna Sand Ghat Nearest Gut no 47, 49, 52, 55 Area-1.04 Ha, Qty- 3675 Brass , Village Walsa Khalsa Purna, Tq. Bhokardan Dist. Jalna by Shri. Rajesh Subhash Dolase."
5,SIA/MH/MIN/567492/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274026/2026",Waghere Stone Quarry Project (Owner- Shri. Vinodkumar Arjunbhai Patel),MAHARASHTRA,VINODKUMAR ARJANBHAI PATEL,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Proposal Accepted and Referred to SEAC,"Stone Quarry at Gut no.- 672/3 Part of village- Waghere, taluka- Igatpuri, District- Nashik, Maharashtra."
6,SIA/MH/MIN/564128/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271125/2026,"Sand Ghat Proposal of Borale Sand Ghat Tq. Nandurbar Dist. Nandurbar,Nearest Gut no 1,2 ,Area-1.612 Ha Qty-11392 Brass, Tapi River",MAHARASHTRA,DMONANDURBAR,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/01/2026,SEIAA,EC Granted,"Sand Ghat Proposal of Borale Sand Ghat Tq. Nandurbar Dist. Nandurbar,Nearest Gut no 1,2 ,Area-1.612 Ha Qty-11392 Brass, Tapi River"
7,SIA/MH/MIN/563616/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/270655/2025,"EC Transfer of Bhon Sand Ghat, Area 1.4 ha, Gut. no. 28 to 40, 213 to 216 Village Bhon, Tehsil Sangrampur, District Buldhana Maharashtra by Shri Gunwant Sadashiv Khodke",MAHARASHTRA,GUNAVANT SADASHIV KHODAKE,Category: B2 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,EC Granted,"EC Transfer of Bhon Sand Ghat, Area 1.4 ha, Gut. no. 28 to 40, 213 to 216 Village Bhon, Tehsil Sangrampur, District Buldhana Maharashtra by Shri Gunwant Sadashiv Khodke"
8,SIA/MH/INFRA2/567373/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273915/2026","Proposed Industrial Shed at Gat No. 211/1, 212, 214, 215, 216, Plot No.2, Karadwadi, Taluka Khandala, Dist.- Satara by Flexipol Foams Pvt. Ltd.",MAHARASHTRA,FLEXIPOL FOAMS PVT LTD,Category: B2 Sector: INFRA-2 Date of Submission: 30/01/2026,SEIAA,Under Verification,Building and Construction Project (Industrial Shed)
9,SIA/MH/MIN/564528/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271479/2026,"Application of Transfer of Environmental Clearance Karatkhed Sand Ghat Proposal of Karatkhed Sand Ghat Tq. Daryapur Dist. Amravati, Nearest Gut no 38 to 40, 49 to 52, 54, Area-1.47 ha, Qty-2597 Brass from District Mining Officer, Amaravati to M/s- R.M. Earth Movers & Construction tarfe Pro. Gaurav Rameshrao Mesre",MAHARASHTRA,Gaurav RAmeshrao MesAre,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Karatkhed Sand Ghat
10,IA/MH/IND3/551272/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/155604/2023","Proposed expansion project for manufacturing of Chemical intermediates, Agro – intermediates, Pharma intermediates and Specialty Chemicals located at Plot No.s B-16,B-17, B-24 & B-25, MIDC area , Dasarkhed Tal - Malkapur, District Buldhana, Maharashtra by Benzo Chem Industries Pvt. Ltd.",MAHARASHTRA,BENZO CHEM INDUSTRIES PRIVATE LIMITED,Category: A Sector: Industrial Projects - 3 Date of Submission: 04/02/2026,MOEFCC,Under Examination,"Benzo Chem Industries Pvt Ltd. proposes expansion project for the manufacturing of Chemical intermediates, Agro –intermediates, Pharma intermediates and specialty chemicals at Plot Nos. B-16, B-17, B-24 and B-25, Dasarkhed Malkapur MIDC, Buldhana District, Maharashtra. The existing manufacturing capacity products is 895 MT/M as per the current CTO and the additional 481 MT/M totalling to 1376 MT/M on land admeasuring 31988 sq.m. The company’s products will be exported to major markets like USA, "
11,SIA/MH/MIN/565316/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272011/2026,"Transfer of EC of Sand Ghat at Batanpur , River Manjra, Vill Batanpur Tq. Devni Dist. Latur Nearest Gut no 39,48,49,50, Area-1.278 Ha, Qty-2257 Brass, in the name of M/s Mahadev Earthmovers Thru. Mr. Ravindrakumar Digambar Biradar",MAHARASHTRA,BIRADAR RAVINDRAKUMAR D,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,EC Granted,"Transfer of EC of Sand Ghat at Batanpur , River Manjra, Vill Batanpur Tq. Devni Dist. Latur Nearest Gut no 39,48,49,50, Area-1.278 Ha, Qty-2257 Brass, in the name of M/s Mahadev Earthmovers Thru. Mr. Ravindrakumar Digambar Biradar"
12,SIA/MH/MIN/565284/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272096/2026,"Transfer of EC of Mahalgaon-A Sand Ghat, Sur River, Tq. Mauda, Dist. Nagpur, Nearest Gut No. Sur. No.261 Pimpalgaon, S. no.23 bhag,24,25,26 lagatcha Bhag, Area-2.28 Ha, Qty-2417 Brass in the name of M/s Saicon Construction & Infra L.L.P. through Mr. Yogiraj Bhagwanrao Shinde",MAHARASHTRA,SAICON CONSTRUCTIONS & INFRA LLP,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,EC Granted,"Transfer of EC of Mahalgaon-A Sand Ghat, Sur River, Tq. Mauda, Dist. Nagpur, Nearest Gut No. Sur. No.261 Pimpalgaon, S. no.23 bhag,24,25,26 lagatcha Bhag, Area-2.28 Ha, Qty-2417 Brass in the name of M/s Saicon Construction & Infra L.L.P. through Mr. Yogiraj Bhagwanrao Shinde"
13,SIA/MH/MIN/564921/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271794/2026,"Transfer of EC of Moharna 2 Sand Ghat over an extent of 4.8 ha. at Wainganga River Bed Adjoining Gut No. 848, 836, Village Moharna, Tehsil Lakhandur, District Bhandara,, Qty-25442 Brass, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal",MAHARASHTRA,A B CARRIERS DYNAMICS PRIVATE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EC Granted,"Transfer of EC of Moharna 2 Sand Ghat over an extent of 4.8 ha. at Wainganga River Bed Adjoining Gut No. 848, 836, Village Moharna, Tehsil Lakhandur, District Bhandara,, Qty-25442 Brass, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal"
14,SIA/MH/IND3/556945/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/264720/2025,"Request for the transfer of Environment Clearance from M/s. Anamayee Pharmachem Pvt. Ltd., to M/s Vetfar Pharmaceuticals Pvt. Ltd.",MAHARASHTRA,VETFAR PHARMACEUTICALS PRIVATE LIMITED,Category: B1 Sector: Industrial Projects - 3 Date of Submission: 20/01/2026,SEIAA,Pending at MS SEIAA,"Request for the transfer of Environment Clearance from M/s. Anamayee Pharmachem Pvt. Ltd., to M/s Vetfar Pharmaceuticals Pvt. Ltd."
15,IA/MH/THE/565044/2026,Clearance Type: Application for Amendment in EC- Form-4 S/W No.: SW/271605/2026,"Amendment in Environmental Clearance for exemption from Installation of FGD and review of applicability of SO2 emission standards in accordance with MoEF&CC Notification dated 11.07.2025 for MAHAGENCO’s Chandrapur Super Thermal Power Station of 2X210 MW and 5X500 MW Power Plant falling under Category ‘B’, located at Chandrapur Maharashtra.",MAHARASHTRA,Maharashtra State Power Generation Company Limited,Category: A Sector: Thermal Projects Date of Submission: 10/01/2026,MOEFCC,EDS Raised,"Amendment in Environmental Clearance for exemption from Installation of FGD and review of applicability of SO2 emission standards in accordance with MoEF&CC Notification dated 11.07.2025 for MAHAGENCO’s Chandrapur Super Thermal Power Station of 2X210 MW and 5X500 MW Power Plant falling under Category ‘B’ as per CPCB, located at Chandrapur Maharashtra."
16,SIA/MH/MIN/567997/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/274557/2026,"Transfer of Environmental Clearance of Zhullar Sandghat, Gut No. 42 Part, Village – Zhullar, Tal.- Ralegaon, Dist. Yavatmal from DMO, Yavatmal to M/s Hemant Building Materials Supplier (PP - Shri. Dhiraj Hemant Todasam)",MAHARASHTRA,DHIRAJ HEMANT TODASAM,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Pending at MS SEIAA,"Application for Transfer of Environmental Clearance of Zhullar Sandghat, Gut No. 42 Part, Village – Zhullar, Tal.- Ralegaon, Dist. Yavatmal from DMO, Yavatmal to M/s Hemant Building Materials Supplier (PP - Shri. Dhiraj Hemant Todasam)."
17,SIA/MH/INFRA2/566344/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271676/2026","Prior Environment Clearance for Proposed Residential Cum Commercial Building on Plot Bearing C.T.S. No. – 1914/7, Kopari, Thane by M/s. Mextech Realty Private Limited",MAHARASHTRA,MEXTECH REALTY PRIVATE LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 22/01/2026,SEIAA,Under Verification,"Proposed Project is a residential cum commercial development comprising of 1 building having 2 wings (i.e Wing A & B). Total Built-up Area – 48,836.507 sq. m."
18,SIA/MH/INFRA2/563032/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/235648/2025","Proposed Residential & Commercial Construction Project at Shaligram Realty LLP, Survey No 148, Alandi- Vishrantwadi Road, Tapkir Chowk, Wadmukhwadi-412105. By M/s. Shaligram Realty LLP",MAHARASHTRA,M/S. SHALIGRAM REALTY LLP,Category: B1 Sector: INFRA-2 Date of Submission: 02/01/2026,SEIAA,Pending at MS SEIAA,"Proposed Residential & Commercial Construction Project at Shaligram Realty LLP, Survey No 148, Alandi- Vishrantwadi Road, Tapkir Chowk, Wadmukhwadi-412105. By M/s. Shaligram Realty LLP"
19,SIA/MH/MIN/566809/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273410/2026,Environmental clearance for proposed river bed sand mining having leases area 2.0 Ha. Chintarevala Ghat-3 sand ghat on Godavari river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 2.0 Ha. Chintarevala Ghat-3 sand ghat on Godavari river.
20,SIA/MH/MIN/564914/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271785/2026,"Transfer of EC of Kholmara Sand Ghat over an extent of 3.6 ha. at Chulbandh River Bed Adjoining Gut No. 125, 124, 117, 116, 113, 163, Village Kholmara, Tehsil Lakhandur, District Bhandara, Qty-12721, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal",MAHARASHTRA,A B CARRIERS DYNAMICS PRIVATE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EC Granted,"Transfer of EC of Kholmara Sand Ghat over an extent of 3.6 ha. at Chulbandh River Bed Adjoining Gut No. 125, 124, 117, 116, 113, 163, Village Kholmara, Tehsil Lakhandur, District Bhandara, Qty-12721, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal"
21,SIA/MH/INFRA2/566230/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272745/2026","Proposed installation of 1200 MTPD Solar Glass plant by M/s. Avaada Glass Pvt. Ltd., at Plot No. A-67-A, MIDC Road, Additional Butibori Industrial Area, Nagpur, Maharashtra, 441108",MAHARASHTRA,Avaada glass private limited,Category: B1 Sector: INFRA-2 Date of Submission: 23/01/2026,SEIAA,Standard ToR Granted,"Plot area: 2,00,339 Sqm. Proposed FSI: 1,67,483.404 Sqm. Proposed Non-FSI: 8,814.916 Sqm. Total Built-up area: 1,76,298.3 Sqm."
22,SIA/MH/INFRA2/565294/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/268610/2025","Proposed Redevelopment of RBI Staff Quarters, CTS. No. 1763/2 & 1763/1, M/W Ward, Chembur, Mumbai",MAHARASHTRA,Reserve Bank of India,Category: B1 Sector: INFRA-2 Date of Submission: 12/01/2026,SEIAA,Under Verification,Building construction project
23,SIA/MH/MIN/564683/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271618/2026,"Stone Quarry Proposal of M/s J. D. Agrawal Stone Metal Through partner Mr. Om Sunil Agrawal +1,Vill.-Borgaon Manju 4, Tq Akola, Dist Akola, Gut No. 150 P, Area- 2.40 Ha",MAHARASHTRA,PROJECT PROPONENT,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,Pending at MS SEIAA,"Stone Quarry Proposal of M/s J. D. Agrawal Stone Metal Through partner Mr. Om Sunil Agrawal +1,Vill.-Borgaon Manju 4, Tq Akola, Dist Akola, Gut No. 150 P, Area- 2.40 Ha"
24,SIA/MH/MIN/564573/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271517/2026,"Application of Transfer of Environmental Clearance Ramtirth Sand Ghat Proposal of Ramtirth Sand Ghat Tq. Daryapur Dist. Amravati.Nearest Gut no 468,469,483, 484, 486, 487, 495, 543, 544, 545, Area-1.63 ha, from District Mining Officer, Amaravati to M/s- R.M. Earth Movers & Construction tarfe Pro. Gaurav Rameshrao Mesre",MAHARASHTRA,Gaurav RAmeshrao MesAre,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Ramtirth Sand Ghat
25,SIA/MH/MIN/564569/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271514/2026,"Transfer of Environment Clearance for Khaksi Sand Ghat over an extent of 4.8 ha at Wainganga River Bed, Adjoining Gut No. 165, 166, 167, 168, 170, 171, 172, 173, 174, 175, 176, 177, Village Pauni, Tehsil Pauni, District Bhandara, Maharashtra to M/s R Sandesh Infravision Pvt Ltd",MAHARASHTRA,ruchir kumar agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,This is River Bed Sand mining project
26,SIA/MH/MIN/564498/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271452/2026,"Transfer of Environment Clearance for Mandvi Sand Ghat over an extent of 3.50 ha. at Wainganga River Bed Adjoining Gut No. 558, 559, 560, 561, 562, Village Mandavi, Tehsil Bhandara, District Bhandara, Maharashtra to M/s R Sandesh Infravision Pvt Ltd",MAHARASHTRA,ruchir kumar agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,This is a river bed sand mining project
27,SIA/MH/MIN/566702/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273312/2026,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Moushi sand ghat on Sati River.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Ordinary Sand
28,SIA/MH/MIN/565714/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272443/2026,"Transfer of Environmental Clearance Dongri Buzurg 1 Sand Ghat over an extent of 1.93 ha. At Bawanthadi River Bed Adjoining Gut. 220, 221, 858, 957, 490, 171, 178, 170, 865, 177, 166, 164, 167, 168, 169, 180, Village Dongri Buzurg, Tehsil Tumsar, District Bhandara, Maharashtra, by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Dongri Buzurg 1 Sand Ghat over an extent of 1.93 ha. At Bawanthadi River Bed Adjoining Gut. 220, 221, 858, 957, 490, 171, 178, 170, 865, 177, 166, 164, 167, 168, 169, 180, Village Dongri Buzurg, Tehsil Tumsar, District Bhandara, Maharashtra, by M/s. Anoj kumar Agarwala"
29,SIA/MH/INFRA2/567015/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273567/2026","Proposed redevelopment of the existing Building No 3 , known as Tilak Nagar Samrat CHS Ltd. on plot bearing C.T.S. No. 16 (Pt.), of Village Chembur, at Tilak Nagar, Chembur (W), Mumbai – 400089 by M/s Real Infrastructure Co.",MAHARASHTRA,M/S REAL INFRASTRUCTURE CO,Category: B2 Sector: INFRA-2 Date of Submission: 05/02/2026,SEIAA,Under Verification,This is a redevelopment Project of existing building under DCR 33 (5)
30,SIA/MH/MIN/564643/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271582/2026,"Transfer of Environment Clearance for Yenoda Sand Ghat over an extent of 4.57 Ha. at Wainganga Riverbed, Adjoining Gut No. 38,41, Village Yenoda, Tehsil Pauni, District Bhandara, Maharashtra to M/s R Sandesh Infravision Pvt Ltd.",MAHARASHTRA,ruchir kumar agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,Proposal pulled back (withdrawn),This is River Bed Sand mining project
31,SIA/MH/MIN/564448/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271416/2026,"Transfer of EC of Isapur-A Sand Ghat , River Kanhan ,Vill Isapur, Tq. Savner Dist. Nagpur, Nearest Gut No. 94 part,115,116,117,118,119,120,126 Part Area-3.60 Ha, Qty-10177 Brass in the name of M/s. Can Group of Industries Through Mr. Premchand Parasram Bhonge",MAHARASHTRA,PREMCHAND PARASRAM BHONGE,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EC Granted,"Transfer of EC of Isapur-A Sand Ghat , River Kanhan ,Vill Isapur, Tq. Savner Dist. Nagpur, Nearest Gut No. 94 part,115,116,117,118,119,120,126 Part Area-3.60 Ha, Qty-10177 Brass in the name of M/s. Can Group of Industries Through Mr. Premchand Parasram Bhonge"
32,SIA/MH/IND3/567810/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274380/2026",M/s .SMD Speciality Chemical LLP,MAHARASHTRA,SMD SPECIALITY CHEMICALS LLP,Category: B1 Sector: Industrial Projects - 3 Date of Submission: 05/02/2026,SEIAA,Standard ToR Granted,"SMD Specialty chemicals LLP engages in the development of Active Pharmaceutical Ingredients (API) and New Chemical Entities , API intermediates, Regulatory Starting Materials , Basic Starting Materials, Key Building Blocks, for use in clinical testing, a veterinary anthelmintic to treat and control roundworm, tapeworm, and fluke infections in domestic animals and commercial production. In addition to process R&D, we provide stability studies, scale-up and process optimization, process validation"
33,SIA/MH/INFRA2/567303/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273843/2026","Proposed Residential Project - Gami Parkview at Plot no. 06, Sector 07 Sanpada, Navi Mumbai by M/s. Lal Gebi Infra Pvt Ltd",MAHARASHTRA,LAL GEBI INFRA PVT. LTD.,Category: B2 Sector: INFRA-2 Date of Submission: 03/02/2026,SEIAA,Under Verification,This is a residential cum commercial project
34,SIA/MH/MIN/564082/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271073/2026,"Transfer of Environmental Clearance of Kopra bu. Sandghat from DMO, Yavatmal to Shri. Shaikh Najir Shaikh Hanif",MAHARASHTRA,shaikh najir shaikh hanif,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,EC Granted,"Application for Transfer of Environmental Clearance of Kopra bu. Sandghat, Gut No. 2,4,5,6, Village – Kopra bu., Tal.- Umarkhed, Dist. Yavatmal from DMO, Yavatmal to Shri. Shaikh Najir Shaikh Hanif"
35,SIA/MH/MIN/564989/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271859/2026,"Transfer of Environmental Clearance of Khadki Borgaon Khadak Sandghat, Gut No. Khadki- 130 to 132,143 to 145 Borgaon Khadak- 50,49,133,132, Village – Khadki Borgaon Khadak, Tal.-Bhokardhan, Dist. Jalna from DMO, Jalna to M/s Aradhya Building Material Suppliers (PP-Sau. Shila Anil Autade)",MAHARASHTRA,SHILA ANIL AUTADE,Category: B2 Sector: Non-Coal Mining Date of Submission: 13/01/2026,SEIAA,EC Granted,"Application for Transfer of Environmental Clearance of Khadki Borgaon Khadak Sandghat, Gut No. Khadki- 130 to 132,143 to 145 Borgaon Khadak- 50,49,133,132, Village – Khadki Borgaon Khadak, Tal.-Bhokardhan, Dist. Jalna from DMO, Jalna to M/s Aradhya Building Material Suppliers (PP-Sau. Shila Anil Autade)"
36,SIA/MH/MIN/563836/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/270853/2026,"Transfer of EC of Sand Ghat at Bhutegaon, River Dudhna, Vill Bhutegaon Tq. Ghansawangi Dist. Jalna Nearest Gut no 208,209,210,211,212, Area-1.08 Ha, Qty-3053 Brass, in the name of M/s Limra Earthmovers ,Prop. Mr. Jamil Sadik Tundiwale",MAHARASHTRA,JAMEEL SADIK TUNDIWALE,Category: B2 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,EC Granted,"Transfer of EC of Sand Ghat at Bhutegaon, River Dudhna, Vill Bhutegaon Tq. Ghansawangi Dist. Jalna Nearest Gut no 208,209,210,211,212, Area-1.08 Ha, Qty-3053 Brass, in the name of M/s Limra Earthmovers ,Prop. Mr. Jamil Sadik Tundiwale"
37,SIA/MH/MIN/564587/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271530/2026,"Transfer of Environment Clearance for Kurza Sand Ghat over an extent of 3.15 ha at Wainganga River Bed, Adjoining Gut No. 740, 745, 757, 770, 774, Village Kurza, Tehsil Pauni, District Bhandara, Maharashtra to M/s R Sandesh Infravision Pvt Ltd.",MAHARASHTRA,ruchir kumar agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,This is River Bed Sand mining project
38,SIA/MH/INFRA2/566088/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272740/2026","Proposed redevelopment of “Jal Mangaldeep CHSL” on plot bearing CTS no. 1007, Village Pahadi Goregaon, Taluka: Goregaon, District: Mumbai Suburban, State: Maharashtra, India by M/s. Kolte Patil Developers Limited",MAHARASHTRA,KOLTE PATIL DEVELOPERS LTD,Category: B2 Sector: INFRA-2 Date of Submission: 20/01/2026,SEIAA,Under Verification,Redevelopment Project
39,SIA/MH/MIN/564699/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271630/2026,"Transfer of Environment Clearance for Yenoda Sand Ghat over an extent of 4.57 Ha. at Wainganga Riverbed, Adjoining Gut No. 38,41, Village Yenoda, Tehsil Pauni, District Bhandara, Maharashtra to M/s R Sandesh Infravision Pvt Ltd",MAHARASHTRA,ruchir kumar agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,This is River Bed Sand mining project
40,SIA/MH/MIN/565494/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272260/2026,"EC Transfer of Bathan Khu Sand Ghat, Area 1.02 ha, Gut. No 102, 104, 105, 107, 109 to 114, 119, Village Bathan Khu , Tehsil Ambad, District Jalna Maharashtra by Shri. Tanmay Raju More.",MAHARASHTRA,TANMAY RAJU MORE,Category: B2 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,EC Granted,"EC Transfer of Bathan Khu Sand Ghat, Area 1.02 ha, Gut. No 102, 104, 105, 107, 109 to 114, 119, Village Bathan Khu , Tehsil Ambad, District Jalna Maharashtra by Shri. Tanmay Raju More."
